№;Дата вылета;Номер рейса;Аэропорт вылета;Аэропорт прилета;Время вылета;Время прилета;Емкость кабины;LF Кабина;Бронирования по кабинам;Тип ВС;Код кабины;Доход пасс;Пассажиры
13-Y;2025-04-18;1129;AER;SVO;20:10;23:45;150;0,92;138;32A;Y;7304,98;139
14-C;2025-04-18;1141;AER;SVO;06:20;09:50;8;0,375;3;32A;C;715,06;3
14-Y;2025-04-18;1141;AER;SVO;06:20;09:50;150;1,02;153;32A;Y;7325,65;153
15-C;2025-04-18;1190;SVO;KZN;09:10;10:50;8;0,625;5;32A;C;830,12;5
15-Y;2025-04-18;1190;SVO;KZN;09:10;10:50;150;0,9867;148;32A;Y;8724,82;149
16-C;2025-04-18;1191;KZN;SVO;11:40;13:25;8;0,375;3;32A;C;556,94;3
16-Y;2025-04-18;1191;KZN;SVO;11:40;13:25;150;0,9133;137;32A;Y;6856,22;137
17-C;2025-04-18;1246;SVO;REN;17:50;22:00;20;0,55;11;320;C;2662,22;11
17-Y;2025-04-18;1246;SVO;REN;17:50;22:00;120;1,0667;128;320;Y;10190,44;128
18-C;2025-04-18;1276;SVO;KZN;12:55;14:40;8;0,875;7;32A;C;1814,95;7
18-Y;2025-04-18;1276;SVO;KZN;12:55;14:40;150;0,8867;133;32A;Y;9986,53;144
19-C;2025-04-18;1277;KZN;SVO;15:30;17:10;8;0,375;3;32A;C;791,41;3
19-Y;2025-04-18;1277;KZN;SVO;15:30;17:10;150;0,92;138;32A;Y;8094,48;149
20-C;2025-04-18;1478;SVO;ABA;00:15;08:50;8;0,25;2;32A;C;863,77;2
20-Y;2025-04-18;1478;SVO;ABA;00:15;08:50;150;0,98;147;32A;Y;14656,43;149
21-C;2025-04-18;1479;ABA;SVO;10:00;11:05;8;0,875;7;32A;C;4109,42;7
21-Y;2025-04-18;1479;ABA;SVO;10:00;11:05;150;0,9267;139;32A;Y;14992,15;139
22-C;2025-04-18;1524;SVO;RGK;00:10;08:35;28;0,0714;2;321;C;1142,81;2
22-Y;2025-04-18;1524;SVO;RGK;00:10;08:35;142;0,9577;136;321;Y;13626,0;137
23-C;2025-04-18;1525;RGK;SVO;11:20;12:05;28;0,5;14;321;C;5544,88;14
23-Y;2025-04-18;1525;RGK;SVO;11:20;12:05;142;0,9296;132;321;Y;14007,33;133
24-C;2025-04-18;1713;KHV;SVO;15:45;16:45;28;0,7857;22;359;C;16040,41;22
24-W;2025-04-18;1713;KHV;SVO;15:45;16:45;24;0,9583;23;359;W;6231,73;23
24-Y;2025-04-18;1713;KHV;SVO;15:45;16:45;264;1,0303;272;359;Y;27084,66;272
25-C;2025-04-18;2142;SVO;AYT;07:45;12:50;16;0,8125;13;32B;C;6490,87;13
25-Y;2025-04-18;2142;SVO;AYT;07:45;12:50;167;0,7964;133;32B;Y;21295,57;137
26-C;2025-04-18;2143;AYT;SVO;14:20;19:20;16;0,75;12;32B;C;6462,09;12
26-Y;2025-04-18;2143;AYT;SVO;14:20;19:20;167;0,7425;124;32B;Y;18373,99;124
27-W;2025-04-18;6321;LED;KGD;14:50;15:45;5;0,2;1;SU9;W;18,58;1
27-Y;2025-04-18;6321;LED;KGD;14:50;15:45;95;0,9684;92;SU9;Y;7777,87;92
28-C;2025-04-18;6574;KJA;LED;05:55;07:00;8;0,125;1;319;C;401,76;1
28-Y;2025-04-18;6574;KJA;LED;05:55;07:00;120;1,0333;124;319;Y;13156,21;125
29-C;2025-05-18;209;PVG;SVO;11:40;16:30;30;0,9333;28;77W;C;19913,66;28
29-W;2025-05-18;209;PVG;SVO;11:40;16:30;48;0,5625;27;77W;W;10220,87;28
29-Y;2025-05-18;209;PVG;SVO;11:40;16:30;324;1,0031;325;77W;Y;76012,04;328
30-C;2025-05-18;224;SVO;SYX;12:45;03:20;28;0,5;14;359;C;5730,6;15
30-W;2025-05-18;224;SVO;SYX;12:45;03:20;24;0,125;3;359;W;658,76;3
30-Y;2025-05-18;224;SVO;SYX;12:45;03:20;264;0,3144;83;359;Y;17272,19;83
31-C;2025-05-18;233;DEL;SVO;05:00;09:00;30;0,8667;26;77W;C;14747,09;26
31-W;2025-05-18;233;DEL;SVO;05:00;09:00;48;0,125;6;77W;W;1487,79;6
31-Y;2025-05-18;233;DEL;SVO;05:00;09:00;324;1,1235;364;77W;Y;69435,52;364
32-C;2025-05-18;321;MLE;SVO;11:05;17:50;30;0,6667;20;77W;C;15404,43;20
32-W;2025-05-18;321;MLE;SVO;11:05;17:50;48;0,625;30;77W;W;13969,39;30
32-Y;2025-05-18;321;MLE;SVO;11:05;17:50;324;0,821;266;77W;Y;67106,72;273
33-C;2025-05-18;427;SSH;SVO;16:25;22:15;30;0,4667;14;77W;C;4998,13;14
33-W;2025-05-18;427;SSH;SVO;16:25;22:15;48;0,0833;4;77W;W;998,74;4
33-Y;2025-05-18;427;SSH;SVO;16:25;22:15;324;0,321;104;77W;Y;18890,54;105
34-C;2025-05-18;521;DXB;SVO;16:05;20:50;30;0,9;27;77W;C;14785,16;27
34-W;2025-05-18;521;DXB;SVO;16:05;20:50;48;0,9167;44;77W;W;14222,85;45
34-Y;2025-05-18;521;DXB;SVO;16:05;20:50;324;0,6451;209;77W;Y;34316,0;208
35-C;2025-05-18;526;SVO;DXB;11:25;18:20;20;0,6;12;73H;C;13315,05;12
35-Y;2025-05-18;526;SVO;DXB;11:25;18:20;138;0,529;73;73H;Y;11521,69;73
36-C;2025-05-18;1009;KGD;SVO;03:00;06:30;16;0,25;4;32B;C;732,6;4
36-Y;2025-05-18;1009;KGD;SVO;03:00;06:30;167;1,0719;179;32B;Y;7512,55;182
37-C;2025-05-18;1018;SVO;KGD;11:50;13:35;16;0,1875;3;32B;C;405,41;3
37-W;2025-05-18;1018;SVO;KGD;11:50;13:35;29;0,3448;10;32B;W;803,38;10
37-Y;2025-05-18;1018;SVO;KGD;11:50;13:35;138;1,1159;154;32B;Y;5972,29;154
38-Y;2025-05-18;1054;SVO;MCX;02:20;05:20;150;0,9733;146;32A;Y;6879,46;148
39-Y;2025-05-18;1055;MCX;SVO;06:20;09:20;150;0,9733;146;32A;Y;7405,46;146
40-C;2025-05-18;1129;AER;SVO;20:10;23:45;8;0,875;7;32A;C;1761,64;7
40-Y;2025-05-18;1129;AER;SVO;20:10;23:45;150;0,98;147;32A;Y;9380,72;151
41-C;2025-05-18;1141;AER;SVO;06:20;09:45;20;0,35;7;73H;C;1944,33;7
41-Y;2025-05-18;1141;AER;SVO;06:20;09:45;138;1,0942;151;73H;Y;10224,26;151
42-C;2025-05-18;1190;SVO;KZN;09:10;10:50;16;0,3125;5;32B;C;765,45;5
42-Y;2025-05-18;1190;SVO;KZN;09:10;10:50;167;0,9701;162;32B;Y;5118,76;162
43-C;2025-05-18;1191;KZN;SVO;11:40;13:25;16;0,375;6;32B;C;2606,95;6
43-Y;2025-05-18;1191;KZN;SVO;11:40;13:25;167;0,8982;150;32B;Y;9595,23;151
44-C;2025-05-18;1246;SVO;REN;18:05;22:00;20;0,1;2;320;C;421,44;2
44-Y;2025-05-18;1246;SVO;REN;18:05;22:00;120;1,1083;133;320;Y;10088,61;133
45-C;2025-05-18;1276;SVO;KZN;12:55;14:40;28;0,3571;10;321;C;2870,03;10
45-Y;2025-05-18;1276;SVO;KZN;12:55;14:40;142;0,9507;135;321;Y;7873,26;135
46-C;2025-05-18;1277;KZN;SVO;15:30;17:05;28;0,3571;10;321;C;5439,61;11
46-Y;2025-05-18;1277;KZN;SVO;15:30;17:05;142;0,9789;139;321;Y;11155,59;142
47-Y;2025-05-18;1478;SVO;ABA;00:15;08:50;167;0,7605;127;32B;Y;11119,82;131
48-C;2025-05-18;1479;ABA;SVO;10:00;11:00;16;0,0625;1;32B;C;459,15;1
48-Y;2025-05-18;1479;ABA;SVO;10:00;11:00;167;1,0659;178;32B;Y;17039,53;178
49-C;2025-05-18;1524;SVO;RGK;00:10;08:35;20;0,2;4;73H;C;2622,84;4
49-Y;2025-05-18;1524;SVO;RGK;00:10;08:35;138;0,9275;128;73H;Y;15189,61;130
50-C;2025-05-18;1525;RGK;SVO;10:00;10:40;20;0,8;16;73H;C;8169,63;16
50-Y;2025-05-18;1525;RGK;SVO;10:00;10:40;138;0,8913;123;73H;Y;17810,23;125
51-C;2025-05-18;1713;KHV;SVO;15:45;16:45;28;0,4286;12;359;C;8110,22;12
51-W;2025-05-18;1713;KHV;SVO;15:45;16:45;24;0,5417;13;359;W;4156,18;13
51-Y;2025-05-18;1713;KHV;SVO;15:45;16:45;264;1,0947;289;359;Y;39369,98;290
52-C;2025-05-18;2142;SVO;AYT;07:45;12:50;16;0,4375;7;32B;C;1381,98;7
52-Y;2025-05-18;2142;SVO;AYT;07:45;12:50;167;0,7006;117;32B;Y;14439,74;117
53-C;2025-05-18;2143;AYT;SVO;14:20;19:20;16;0,75;12;32B;C;12473,02;12
53-Y;2025-05-18;2143;AYT;SVO;14:20;19:20;167;0,8204;137;32B;Y;18762,52;139
54-C;2025-05-18;6321;LED;KGD;14:50;15:35;8;0,5;4;319;C;772,3;4
54-Y;2025-05-18;6321;LED;KGD;14:50;15:35;120;0,925;111;319;Y;5635,72;112
55-C;2025-05-18;6574;KJA;LED;05:55;07:00;8;0,5;4;32A;C;1321,06;4
55-Y;2025-05-18;6574;KJA;LED;05:55;07:00;150;1,02;153;32A;Y;20641,52;153
56-C;2025-03-20;224;SVO;SYX;12:30;03:20;28;0,7143;20;359;C;10385,56;20
56-W;2025-03-20;224;SVO;SYX;12:30;03:20;24;0,7917;19;359;W;8218,62;19
56-Y;2025-03-20;224;SVO;SYX;12:30;03:20;264;0,4583;121;359;Y;34690,68;121
57-C;2025-03-20;225;SYX;SVO;04:50;10:35;28;0,7857;22;333;C;12695,41;22
57-Y;2025-03-20;225;SYX;SVO;04:50;10:35;268;0,4478;120;333;Y;35176,2;120
58-C;2025-03-20;233;DEL;SVO;05:50;10:10;28;0,75;21;333;C;10690,83;21
58-Y;2025-03-20;233;DEL;SVO;05:50;10:10;268;0,944;253;333;Y;50160,72;255
59-C;2025-03-20;275;HKT;SVO;12:10;18:25;30;0,5333;16;77W;C;12983,95;16
59-W;2025-03-20;275;HKT;SVO;12:10;18:25;48;0,4375;21;77W;W;9259,97;21
59-Y;2025-03-20;275;HKT;SVO;12:10;18:25;324;0,6698;217;77W;Y;58980,12;223
60-C;2025-03-20;321;MLE;SVO;11:00;18:00;30;0,8667;26;77W;C;33040,17;26
60-W;2025-03-20;321;MLE;SVO;11:00;18:00;48;0,4583;22;77W;W;10034,66;22
60-Y;2025-03-20;321;MLE;SVO;11:00;18:00;324;0,4722;153;77W;Y;37044,36;155
61-C;2025-03-20;427;SSH;SVO;15:45;22:35;30;0,3333;10;77W;C;3070,58;10
61-W;2025-03-20;427;SSH;SVO;15:45;22:35;48;0,0625;3;77W;W;431,25;3
61-Y;2025-03-20;427;SSH;SVO;15:45;22:35;324;0,1173;38;77W;Y;5423,52;38
62-C;2025-03-20;521;DXB;SVO;16:35;21:25;30;0,7667;23;77W;C;14371,34;24
62-W;2025-03-20;521;DXB;SVO;16:35;21:25;48;0,4792;23;77W;W;10341,96;23
62-Y;2025-03-20;521;DXB;SVO;16:35;21:25;324;0,3765;122;77W;Y;17670,45;127
63-C;2025-03-20;526;SVO;DXB;11:15;18:00;28;0,75;21;333;C;12231,47;21
63-Y;2025-03-20;526;SVO;DXB;11:15;18:00;268;0,7313;196;333;Y;28371,26;196
64-C;2025-03-20;1009;KGD;SVO;06:10;09:50;16;0,6875;11;32B;C;1251,35;11
64-Y;2025-03-20;1009;KGD;SVO;06:10;09:50;167;1,024;171;32B;Y;7209,71;171
65-C;2025-03-20;1018;SVO;KGD;11:20;13:00;16;1,0;16;32B;C;2646,33;16
65-W;2025-03-20;1018;SVO;KGD;11:20;13:00;29;1,0;29;32B;W;2662,41;29
65-Y;2025-03-20;1018;SVO;KGD;11:20;13:00;138;0,9493;131;32B;Y;5255,77;131
66-C;2025-03-20;1054;SVO;MCX;10:35;13:40;8;0,75;6;32A;C;1662,01;6
66-Y;2025-03-20;1054;SVO;MCX;10:35;13:40;150;1,0067;151;32A;Y;6400,48;150
67-C;2025-03-20;1055;MCX;SVO;14:40;17:45;8;0,25;2;32A;C;485,14;2
67-Y;2025-03-20;1055;MCX;SVO;14:40;17:45;150;0,44;66;32A;Y;2502,41;66
68-C;2025-03-20;1129;AER;SVO;06:05;09:40;8;0,375;3;32A;C;569,26;3
68-Y;2025-03-20;1129;AER;SVO;06:05;09:40;150;1,04;156;32A;Y;7725,16;158
69-C;2025-03-20;1141;AER;SVO;21:20;00:45;28;0,4286;12;321;C;2387,4;12
69-Y;2025-03-20;1141;AER;SVO;21:20;00:45;142;0,6056;86;321;Y;5335,64;87
70-C;2025-03-20;1190;SVO;KZN;10:40;12:20;16;0,25;4;32B;C;958,23;4
70-Y;2025-03-20;1190;SVO;KZN;10:40;12:20;167;1,0898;182;32B;Y;6137,94;182
71-C;2025-03-20;1191;KZN;SVO;13:20;15:05;16;0,0625;1;32B;C;27,03;1
71-Y;2025-03-20;1191;KZN;SVO;13:20;15:05;167;0,9641;161;32B;Y;4345,7;163
72-C;2025-03-20;1246;SVO;REN;08:35;13:00;16;0,1875;3;32B;C;370,88;3
72-Y;2025-03-20;1246;SVO;REN;08:35;13:00;167;1,024;171;32B;Y;5576,84;172
73-C;2025-03-20;1276;SVO;KZN;08:10;10:00;16;0,5;8;32B;C;940,59;11
73-Y;2025-03-20;1276;SVO;KZN;08:10;10:00;167;0,988;165;32B;Y;4319,18;170
74-C;2025-03-20;1277;KZN;SVO;10:50;12:35;16;0,1875;3;32B;C;645,95;3
74-Y;2025-03-20;1277;KZN;SVO;10:50;12:35;167;1,0299;172;32B;Y;5556,76;174
75-C;2025-03-20;1478;SVO;ABA;23:55;08:45;20;0,25;5;73H;C;1178,35;5
75-Y;2025-03-20;1478;SVO;ABA;23:55;08:45;138;0,7174;99;73H;Y;7836,52;97
76-C;2025-03-20;1479;ABA;SVO;11:45;12:50;20;0,2;4;73H;C;1695,7;4
76-Y;2025-03-20;1479;ABA;SVO;11:45;12:50;138;1,1232;155;73H;Y;21372,2;156
77-C;2025-03-20;1524;SVO;RGK;00:05;08:35;20;0,55;11;73H;C;4074,4;11
77-Y;2025-03-20;1524;SVO;RGK;00:05;08:35;138;1,058;146;73H;Y;15141,7;146
78-C;2025-03-20;1525;RGK;SVO;11:45;12:35;20;0,2;4;73H;C;1076,56;4
78-Y;2025-03-20;1525;RGK;SVO;11:45;12:35;138;1,0942;151;73H;Y;14716,52;155
79-C;2025-03-20;1713;KHV;SVO;14:35;15:55;30;0,9;27;77W;C;21334,91;27
79-W;2025-03-20;1713;KHV;SVO;14:35;15:55;48;0,8542;41;77W;W;9761,41;41
79-Y;2025-03-20;1713;KHV;SVO;14:35;15:55;324;0,9969;323;77W;Y;31302,2;330
80-C;2025-03-20;2142;SVO;AYT;11:25;16:30;16;0,9375;15;32B;C;8020,4;15
80-Y;2025-03-20;2142;SVO;AYT;11:25;16:30;167;0,5449;91;32B;Y;15156,61;95
81-C;2025-03-20;2143;AYT;SVO;17:30;22:30;16;0,5625;9;32B;C;3865,32;9
81-Y;2025-03-20;2143;AYT;SVO;17:30;22:30;167;0,1737;29;32B;Y;3064,28;33
82-C;2025-03-20;6568;AER;LED;18:45;22:55;8;0,5;4;319;C;1435,14;4
82-Y;2025-03-20;6568;AER;LED;18:45;22:55;120;0,9167;110;319;Y;4742,67;110
83-C;2025-03-20;6574;KJA;LED;20:45;21:50;8;0,25;2;319;C;699,73;2
83-Y;2025-03-20;6574;KJA;LED;20:45;21:50;120;1,05;126;319;Y;12282,43;128
84-C;2025-03-20;6792;SVX;KJA;12:15;17:10;8;0,125;1;319;C;225,68;1
84-Y;2025-03-20;6792;SVX;KJA;12:15;17:10;120;1,0333;124;319;Y;6876,37;124
85-C;2025-03-12;209;PVG;SVO;11:45;16:50;30;1,0;30;77W;C;29484,53;30
85-W;2025-03-12;209;PVG;SVO;11:45;16:50;48;0,6458;31;77W;W;11378,07;31
85-Y;2025-03-12;209;PVG;SVO;11:45;16:50;324;0,9691;314;77W;Y;65406,59;316
86-C;2025-03-12;224;SVO;SYX;12:30;03:20;28;0,6429;18;333;C;12864,78;18
86-Y;2025-03-12;224;SVO;SYX;12:30;03:20;268;0,4216;113;333;Y;28533,7;113
87-C;2025-03-12;233;DEL;SVO;05:50;10:10;28;0,3929;11;359;C;5355,41;11
87-Y;2025-03-12;233;DEL;SVO;05:50;10:10;288;0,9618;277;359;Y;52077,52;277
88-C;2025-03-12;275;HKT;SVO;12:10;18:25;30;0,6;18;77W;C;21984,34;18
88-W;2025-03-12;275;HKT;SVO;12:10;18:25;48;0,4375;21;77W;W;11829,84;23
88-Y;2025-03-12;275;HKT;SVO;12:10;18:25;324;0,7191;233;77W;Y;70041,32;243
89-C;2025-03-12;321;MLE;SVO;11:00;18:00;28;0,75;21;359;C;18949,1;21
89-W;2025-03-12;321;MLE;SVO;11:00;18:00;24;0,5;12;359;W;5275,05;12
89-Y;2025-03-12;321;MLE;SVO;11:00;18:00;264;0,6402;169;359;Y;39889,94;170
90-C;2025-03-12;427;SSH;SVO;15:45;22:35;30;0,2667;8;77W;C;2935,73;8
90-W;2025-03-12;427;SSH;SVO;15:45;22:35;48;0,0417;2;77W;W;585,0;2
90-Y;2025-03-12;427;SSH;SVO;15:45;22:35;324;0,0833;27;77W;Y;4196,89;27
91-C;2025-03-12;521;DXB;SVO;15:25;20:15;30;0,8667;26;77W;C;13227,46;26
91-W;2025-03-12;521;DXB;SVO;15:25;20:15;48;0,875;42;77W;W;12908,13;42
91-Y;2025-03-12;521;DXB;SVO;15:25;20:15;324;0,3272;106;77W;Y;15623,32;112
92-C;2025-03-12;526;SVO;DXB;11:15;18:00;20;0,45;9;73H;C;6290,75;9
92-Y;2025-03-12;526;SVO;DXB;11:15;18:00;138;0,4493;62;73H;Y;10118,36;69
93-C;2025-03-12;638;VVO;HKT;03:15;08:00;30;0,5667;17;77W;C;10903,64;17
93-W;2025-03-12;638;VVO;HKT;03:15;08:00;48;0,2917;14;77W;W;4420,7;14
93-Y;2025-03-12;638;VVO;HKT;03:15;08:00;324;0,3364;109;77W;Y;24858,79;110
94-C;2025-03-12;1009;KGD;SVO;06:10;09:50;16;0,4375;7;32B;C;1011,63;7
94-Y;2025-03-12;1009;KGD;SVO;06:10;09:50;167;1,0599;177;32B;Y;7701,22;179
95-C;2025-03-12;1018;SVO;KGD;11:20;13:00;16;1,0;16;32B;C;3095,15;16
95-W;2025-03-12;1018;SVO;KGD;11:20;13:00;29;0,4138;12;32B;W;959,69;12
95-Y;2025-03-12;1018;SVO;KGD;11:20;13:00;138;1,0942;151;32B;Y;5879,27;152
96-C;2025-03-12;1054;SVO;MCX;10:35;13:40;20;0,1;2;320;C;384,07;2
96-Y;2025-03-12;1054;SVO;MCX;10:35;13:40;120;0,6833;82;320;Y;2811,51;83
97-C;2025-03-12;1055;MCX;SVO;14:40;17:45;20;0,1;2;320;C;485,51;2
97-Y;2025-03-12;1055;MCX;SVO;14:40;17:45;120;0,8667;104;320;Y;4518,7;103
98-C;2025-03-12;1129;AER;SVO;06:05;09:40;16;0,4375;7;32B;C;2009,68;7
98-Y;2025-03-12;1129;AER;SVO;06:05;09:40;167;1,0359;173;32B;Y;8664,23;177
99-C;2025-03-12;1141;AER;SVO;21:20;00:45;28;0,3214;9;321;C;2110,62;10
99-Y;2025-03-12;1141;AER;SVO;21:20;00:45;142;0,6127;87;321;Y;5021,83;87
100-C;2025-03-12;1190;SVO;KZN;10:40;12:20;16;0,1875;3;32B;C;379,48;3
100-Y;2025-03-12;1190;SVO;KZN;10:40;12:20;167;1,0419;174;32B;Y;4208,66;174
101-C;2025-03-12;1191;KZN;SVO;13:20;15:05;16;0,3125;5;32B;C;973,33;5
101-Y;2025-03-12;1191;KZN;SVO;13:20;15:05;167;0,9701;162;32B;Y;4882,85;165
102-C;2025-03-12;1246;SVO;REN;08:35;13:00;8;0,5;4;32A;C;1042,65;4
102-Y;2025-03-12;1246;SVO;REN;08:35;13:00;150;1,0333;155;32A;Y;5710,16;154
103-C;2025-03-12;1276;SVO;KZN;08:10;10:00;16;0,25;4;32B;C;930,22;4
103-Y;2025-03-12;1276;SVO;KZN;08:10;10:00;167;1,006;168;32B;Y;4319,42;168
104-C;2025-03-12;1277;KZN;SVO;10:50;12:35;16;0,25;4;32B;C;1145,95;4
104-Y;2025-03-12;1277;KZN;SVO;10:50;12:35;167;1,0539;176;32B;Y;5557,11;178
105-C;2025-03-12;1478;SVO;ABA;23:55;08:45;20;0,55;11;73H;C;5376,32;11
105-Y;2025-03-12;1478;SVO;ABA;23:55;08:45;138;0,9493;131;73H;Y;12299,45;131
106-C;2025-03-12;1479;ABA;SVO;09:55;11:00;20;0,15;3;73H;C;1157,04;3
106-Y;2025-03-12;1479;ABA;SVO;09:55;11:00;138;0,9855;136;73H;Y;11421,99;139
107-C;2025-03-12;1524;SVO;RGK;00:05;08:35;20;0,5;10;73H;C;4518,72;10
107-Y;2025-03-12;1524;SVO;RGK;00:05;08:35;138;0,971;134;73H;Y;14542,22;136
108-C;2025-03-12;1525;RGK;SVO;11:45;12:35;20;0,75;15;73H;C;9553,16;15
108-Y;2025-03-12;1525;RGK;SVO;11:45;12:35;138;0,9493;131;73H;Y;15432,73;131
109-C;2025-03-12;2142;SVO;AYT;11:25;16:30;20;0,55;11;73H;C;3835,21;11
109-Y;2025-03-12;2142;SVO;AYT;11:25;16:30;138;0,3986;55;73H;Y;7533,53;55
110-C;2025-03-12;2143;AYT;SVO;17:30;22:30;20;0,2;4;73H;C;1009,72;4
110-Y;2025-03-12;2143;AYT;SVO;17:30;22:30;138;0,1957;27;73H;Y;3586,42;27
111-C;2025-03-12;6568;AER;LED;18:45;22:55;8;0,625;5;319;C;1093,01;5
111-Y;2025-03-12;6568;AER;LED;18:45;22:55;120;0,9417;113;319;Y;4851,35;114
112-C;2025-03-12;6574;KJA;LED;20:45;21:50;8;0,375;3;319;C;1624,75;4
112-Y;2025-03-12;6574;KJA;LED;20:45;21:50;120;0,675;81;319;Y;7145,07;81
113-Y;2025-03-12;6792;SVX;KJA;13:50;18:50;95;1,0;95;SU9;Y;5424,41;97
114-C;2025-04-04;209;PVG;SVO;11:40;16:30;30;1,0;30;77W;C;53052,35;30
114-W;2025-04-04;209;PVG;SVO;11:40;16:30;48;0,7917;38;77W;W;26365,76;38
114-Y;2025-04-04;209;PVG;SVO;11:40;16:30;324;0,9784;317;77W;Y;91930,17;319
115-C;2025-04-04;224;SVO;SYX;10:35;01:15;28;0,6786;19;359;C;15276,04;19
115-W;2025-04-04;224;SVO;SYX;10:35;01:15;24;0,4167;10;359;W;5386,91;10
115-Y;2025-04-04;224;SVO;SYX;10:35;01:15;264;0,4129;109;359;Y;28536,26;109
116-C;2025-04-04;225;SYX;SVO;04:50;10:10;28;0,6429;18;359;C;9383,58;18
116-W;2025-04-04;225;SYX;SVO;04:50;10:10;24;0,625;15;359;W;5365,27;15
116-Y;2025-04-04;225;SYX;SVO;04:50;10:10;264;0,4167;110;359;Y;23050,51;110
117-C;2025-04-04;233;DEL;SVO;05:00;09:00;30;0,2667;8;77W;C;5358,34;9
117-W;2025-04-04;233;DEL;SVO;05:00;09:00;48;0,1042;5;77W;W;1253,04;5
117-Y;2025-04-04;233;DEL;SVO;05:00;09:00;324;0,9198;298;77W;Y;49365,85;301
118-C;2025-04-04;321;MLE;SVO;11:05;17:50;30;0,9333;28;77W;C;36178,09;29
118-W;2025-04-04;321;MLE;SVO;11:05;17:50;48;0,9167;44;77W;W;21974,07;44
118-Y;2025-04-04;321;MLE;SVO;11:05;17:50;324;0,7191;233;77W;Y;62955,52;235
119-C;2025-04-04;427;SSH;SVO;15:30;22:15;30;0,6;18;77W;C;6341,03;18
119-W;2025-04-04;427;SSH;SVO;15:30;22:15;48;0,125;6;77W;W;1985,32;6
119-Y;2025-04-04;427;SSH;SVO;15:30;22:15;324;0,213;69;77W;Y;12364,21;69
120-C;2025-04-04;521;DXB;SVO;16:05;20:50;30;0,8;24;77W;C;25486,71;24
